案件ID,行程,メンバー,所属,チーム,月,時間
PJ-2021-E,レベルデザイン,EMP-E0016,自社,ゲームデザイン部,2021-10,165.3
PJ-2021-E,レベルデザイン,EMP-E0017,自社,ゲームデザイン部,2021-10,102.5
PJ-2021-E,レベルデザイン,EMP-E0018,自社,ゲームデザイン部,2021-10,88.4
PJ-2021-E,レベルデザイン,PTA-E0022,協力会社A,GDチーム,2021-10,61.8
PJ-2021-E,企画書作成,EMP-E0001,自社,企画部,2021-10,128.9
PJ-2021-E,企画書作成,EMP-E0005,自社,企画部,2021-10,115.8
PJ-2021-E,企画書作成,EMP-E0006,自社,企画部,2021-10,70.6
PJ-2021-E,企画書作成,EMP-E0008,自社,企画部,2021-10,127.3
PJ-2021-E,企画立案,EMP-E0001,自社,企画部,2021-10,53.1
PJ-2021-E,企画立案,EMP-E0002,自社,企画部,2021-10,112.7
PJ-2021-E,企画立案,EMP-E0003,自社,企画部,2021-10,177.0
PJ-2021-E,企画立案,EMP-E0004,自社,企画部,2021-10,105.6
PJ-2021-E,企画立案,EMP-E0005,自社,企画部,2021-10,43.8
PJ-2021-E,企画立案,EMP-E0006,自社,企画部,2021-10,139.5
PJ-2021-E,企画立案,EMP-E0007,自社,企画部,2021-10,120.8
PJ-2021-E,企画立案,EMP-E0008,自社,企画部,2021-10,107.4
PJ-2021-E,市場調査,EMP-E0001,自社,企画部,2021-10,157.6
PJ-2021-E,市場調査,EMP-E0002,自社,企画部,2021-10,72.6
PJ-2021-E,市場調査,EMP-E0006,自社,企画部,2021-10,128.3
PJ-2021-E,市場調査,EMP-E0007,自社,企画部,2021-10,81.0
PJ-2021-E,最適化,EMP-E0042,自社,第2開発部,2021-10,129.9
PJ-2021-E,最適化,PTA-E0051,協力会社A,開発支援チーム,2021-10,103.7
PJ-2021-E,最適化,PTB-E0058,協力会社B,エンジニアリングチーム,2021-10,147.7
PJ-2021-E,移植対応,EMP-E0025,自社,第1開発部,2021-10,96.3
PJ-2021-E,移植対応,EMP-E0031,自社,第1開発部,2021-10,151.0
PJ-2021-E,背景モデリング,EMP-E0063,自社,アート部,2021-10,150.4
PJ-2021-E,背景モデリング,EMP-E0074,自社,アート部,2021-10,42.6
PJ-2021-E,背景モデリング,PTB-E0086,協力会社B,3DCGチーム,2021-10,93.7
PJ-2021-E,背景モデリング,PTC-E0105,協力会社C,2Dアートチーム,2021-10,179.8
PJ-2021-E,進行管理,EMP-E0162,自社,PMO,2021-10,117.0
PJ-2021-E,進行管理,EMP-E0164,自社,PMO,2021-10,46.7
PJ-2021-E,進行管理,EMP-E0167,自社,PMO,2021-10,136.3
PJ-2021-E,2Dイラスト,EMP-E0065,自社,アート部,2021-11,89.7
PJ-2021-E,2Dイラスト,EMP-E0069,自社,アート部,2021-11,66.6
PJ-2021-E,2Dイラスト,EMP-E0075,自社,アート部,2021-11,87.7
PJ-2021-E,2Dイラスト,PTB-E0078,協力会社B,3DCGチーム,2021-11,134.6
PJ-2021-E,2Dイラスト,PTB-E0089,協力会社B,3DCGチーム,2021-11,94.6
PJ-2021-E,2Dイラスト,PTB-E0091,協力会社B,3DCGチーム,2021-11,192.7
PJ-2021-E,2Dイラスト,PTC-E0109,協力会社C,2Dアートチーム,2021-11,74.7
PJ-2021-E,BGM制作,EMP-E0115,自社,サウンド部,2021-11,135.9
PJ-2021-E,QA計画・進行,PTC-E0138,協力会社C,デバッグチーム,2021-11,14.6
PJ-2021-E,SE制作,PTC-E0120,協力会社C,サウンドチーム,2021-11,92.5
PJ-2021-E,UI/UX設計,EMP-E0009,自社,ゲームデザイン部,2021-11,107.6
PJ-2021-E,UI/UX設計,EMP-E0011,自社,ゲームデザイン部,2021-11,155.9
PJ-2021-E,UI/UX設計,EMP-E0012,自社,ゲームデザイン部,2021-11,55.2
PJ-2021-E,UI/UX設計,EMP-E0015,自社,ゲームデザイン部,2021-11,85.6
PJ-2021-E,UI/UX設計,EMP-E0017,自社,ゲームデザイン部,2021-11,110.1
PJ-2021-E,UI/UX設計,PTA-E0020,協力会社A,GDチーム,2021-11,76.8
PJ-2021-E,UI/UX設計,PTA-E0022,協力会社A,GDチーム,2021-11,227.3
PJ-2021-E,UIアート,PTB-E0081,協力会社B,3DCGチーム,2021-11,256.7
PJ-2021-E,UIアート,PTB-E0085,協力会社B,3DCGチーム,2021-11,64.3
PJ-2021-E,UIアート,PTB-E0097,協力会社B,3DCGチーム,2021-11,62.4
PJ-2021-E,UIアート,PTC-E0100,協力会社C,2Dアートチーム,2021-11,45.5
PJ-2021-E,UIアート,PTC-E0104,協力会社C,2Dアートチーム,2021-11,154.9
PJ-2021-E,UIアート,PTC-E0109,協力会社C,2Dアートチーム,2021-11,86.5
PJ-2021-E,UIアート,PTC-E0113,協力会社C,2Dアートチーム,2021-11,151.6
PJ-2021-E,アニメーション,EMP-E0063,自社,アート部,2021-11,92.4
PJ-2021-E,アニメーション,EMP-E0074,自社,アート部,2021-11,201.9
PJ-2021-E,アニメーション,EMP-E0075,自社,アート部,2021-11,84.0
PJ-2021-E,アニメーション,PTB-E0079,協力会社B,3DCGチーム,2021-11,150.8
PJ-2021-E,アニメーション,PTB-E0082,協力会社B,3DCGチーム,2021-11,52.6
PJ-2021-E,アニメーション,PTB-E0084,協力会社B,3DCGチーム,2021-11,68.4
PJ-2021-E,アニメーション,PTB-E0088,協力会社B,3DCGチーム,2021-11,73.8
PJ-2021-E,アニメーション,PTB-E0091,協力会社B,3DCGチーム,2021-11,132.9
PJ-2021-E,アニメーション,PTC-E0106,協力会社C,2Dアートチーム,2021-11,68.7
PJ-2021-E,アニメーション,PTC-E0109,協力会社C,2Dアートチーム,2021-11,174.6
PJ-2021-E,エフェクト,EMP-E0064,自社,アート部,2021-11,102.2
PJ-2021-E,エフェクト,EMP-E0067,自社,アート部,2021-11,41.6
PJ-2021-E,エフェクト,EMP-E0071,自社,アート部,2021-11,119.4
PJ-2021-E,エフェクト,EMP-E0075,自社,アート部,2021-11,70.8
PJ-2021-E,エフェクト,PTB-E0092,協力会社B,3DCGチーム,2021-11,61.8
PJ-2021-E,エフェクト,PTC-E0099,協力会社C,2Dアートチーム,2021-11,189.5
PJ-2021-E,エフェクト,PTC-E0100,協力会社C,2Dアートチーム,2021-11,186.7
PJ-2021-E,エンジン開発,EMP-E0027,自社,第1開発部,2021-11,99.7
PJ-2021-E,エンジン開発,EMP-E0036,自社,第1開発部,2021-11,165.1
PJ-2021-E,エンジン開発,EMP-E0037,自社,第1開発部,2021-11,180.6
PJ-2021-E,エンジン開発,EMP-E0042,自社,第2開発部,2021-11,45.0
PJ-2021-E,エンジン開発,PTA-E0046,協力会社A,開発支援チーム,2021-11,223.0
PJ-2021-E,エンジン開発,PTA-E0049,協力会社A,開発支援チーム,2021-11,33.6
PJ-2021-E,エンジン開発,PTB-E0058,協力会社B,エンジニアリングチーム,2021-11,73.1
PJ-2021-E,キャラクターモデリング,EMP-E0067,自社,アート部,2021-11,61.8
PJ-2021-E,キャラクターモデリング,EMP-E0075,自社,アート部,2021-11,68.5
PJ-2021-E,キャラクターモデリング,PTB-E0079,協力会社B,3DCGチーム,2021-11,225.1
PJ-2021-E,キャラクターモデリング,PTB-E0085,協力会社B,3DCGチーム,2021-11,162.4
PJ-2021-E,キャラクターモデリング,PTB-E0091,協力会社B,3DCGチーム,2021-11,104.3
PJ-2021-E,キャラクターモデリング,PTB-E0093,協力会社B,3DCGチーム,2021-11,193.7
PJ-2021-E,キャラクターモデリング,PTB-E0095,協力会社B,3DCGチーム,2021-11,42.9
PJ-2021-E,キャラクターモデリング,PTB-E0097,協力会社B,3DCGチーム,2021-11,46.0
PJ-2021-E,キャラクターモデリング,PTC-E0104,協力会社C,2Dアートチーム,2021-11,88.7
PJ-2021-E,キャラクターモデリング,PTC-E0105,協力会社C,2Dアートチーム,2021-11,114.1
PJ-2021-E,キャラクターモデリング,PTC-E0107,協力会社C,2Dアートチーム,2021-11,110.1
PJ-2021-E,キャラクターモデリング,PTC-E0108,協力会社C,2Dアートチーム,2021-11,101.9
PJ-2021-E,キャラクターモデリング,PTC-E0112,協力会社C,2Dアートチーム,2021-11,118.5
PJ-2021-E,キャラクターモデリング,PTC-E0114,協力会社C,2Dアートチーム,2021-11,101.1
PJ-2021-E,クライアント実装,EMP-E0024,自社,第1開発部,2021-11,45.2
PJ-2021-E,クライアント実装,EMP-E0025,自社,第1開発部,2021-11,271.7
PJ-2021-E,クライアント実装,EMP-E0026,自社,第1開発部,2021-11,67.1
PJ-2021-E,クライアント実装,EMP-E0027,自社,第1開発部,2021-11,138.8
PJ-2021-E,クライアント実装,EMP-E0028,自社,第1開発部,2021-11,60.9
PJ-2021-E,クライアント実装,EMP-E0031,自社,第1開発部,2021-11,47.6
PJ-2021-E,クライアント実装,EMP-E0034,自社,第1開発部,2021-11,183.0
PJ-2021-E,クライアント実装,EMP-E0036,自社,第1開発部,2021-11,164.3
PJ-2021-E,クライアント実装,EMP-E0038,自社,第2開発部,2021-11,57.8
PJ-2021-E,クライアント実装,EMP-E0043,自社,第2開発部,2021-11,161.1
PJ-2021-E,クライアント実装,PTA-E0045,協力会社A,開発支援チーム,2021-11,86.4
PJ-2021-E,クライアント実装,PTA-E0049,協力会社A,開発支援チーム,2021-11,81.5
PJ-2021-E,クライアント実装,PTA-E0050,協力会社A,開発支援チーム,2021-11,48.5
PJ-2021-E,クライアント実装,PTA-E0052,協力会社A,開発支援チーム,2021-11,25.1
PJ-2021-E,クライアント実装,PTA-E0053,協力会社A,開発支援チーム,2021-11,162.6
PJ-2021-E,クライアント実装,PTB-E0054,協力会社B,エンジニアリングチーム,2021-11,91.4
PJ-2021-E,クライアント実装,PTB-E0057,協力会社B,エンジニアリングチーム,2021-11,227.9
PJ-2021-E,ゲームバランス調整,EMP-E0009,自社,ゲームデザイン部,2021-11,75.3
PJ-2021-E,ゲームバランス調整,EMP-E0010,自社,ゲームデザイン部,2021-11,85.5
PJ-2021-E,ゲームバランス調整,EMP-E0011,自社,ゲームデザイン部,2021-11,50.8
PJ-2021-E,ゲームバランス調整,EMP-E0012,自社,ゲームデザイン部,2021-11,159.4
PJ-2021-E,ゲームバランス調整,EMP-E0013,自社,ゲームデザイン部,2021-11,102.7
PJ-2021-E,ゲームバランス調整,EMP-E0014,自社,ゲームデザイン部,2021-11,81.3
PJ-2021-E,ゲームバランス調整,EMP-E0016,自社,ゲームデザイン部,2021-11,189.9
PJ-2021-E,ゲームバランス調整,EMP-E0018,自社,ゲームデザイン部,2021-11,91.1
PJ-2021-E,サーバ実装,EMP-E0024,自社,第1開発部,2021-11,109.8
PJ-2021-E,サーバ実装,EMP-E0029,自社,第1開発部,2021-11,128.3
PJ-2021-E,サーバ実装,EMP-E0031,自社,第1開発部,2021-11,99.1
PJ-2021-E,サーバ実装,EMP-E0034,自社,第1開発部,2021-11,103.2
PJ-2021-E,サーバ実装,EMP-E0036,自社,第1開発部,2021-11,118.1
PJ-2021-E,サーバ実装,PTB-E0054,協力会社B,エンジニアリングチーム,2021-11,175.1
PJ-2021-E,サーバ実装,PTB-E0058,協力会社B,エンジニアリングチーム,2021-11,69.9
PJ-2021-E,サーバ実装,PTB-E0060,協力会社B,エンジニアリングチーム,2021-11,80.2
PJ-2021-E,シナリオ執筆,EMP-E0011,自社,ゲームデザイン部,2021-11,122.4
PJ-2021-E,シナリオ執筆,EMP-E0012,自社,ゲームデザイン部,2021-11,92.8
PJ-2021-E,シナリオ執筆,EMP-E0013,自社,ゲームデザイン部,2021-11,113.5
PJ-2021-E,シナリオ執筆,EMP-E0014,自社,ゲームデザイン部,2021-11,62.7
PJ-2021-E,シナリオ執筆,EMP-E0015,自社,ゲームデザイン部,2021-11,88.0
PJ-2021-E,シナリオ執筆,EMP-E0017,自社,ゲームデザイン部,2021-11,127.7
PJ-2021-E,シナリオ執筆,EMP-E0019,自社,ゲームデザイン部,2021-11,187.6
PJ-2021-E,シナリオ執筆,PTA-E0020,協力会社A,GDチーム,2021-11,49.3
PJ-2021-E,シナリオ執筆,PTA-E0022,協力会社A,GDチーム,2021-11,138.4
PJ-2021-E,ツール開発,EMP-E0024,自社,第1開発部,2021-11,112.4
PJ-2021-E,ツール開発,EMP-E0031,自社,第1開発部,2021-11,43.1
PJ-2021-E,ツール開発,PTA-E0044,協力会社A,開発支援チーム,2021-11,86.9
PJ-2021-E,ツール開発,PTA-E0051,協力会社A,開発支援チーム,2021-11,163.7
PJ-2021-E,ツール開発,PTB-E0054,協力会社B,エンジニアリングチーム,2021-11,110.6
PJ-2021-E,ツール開発,PTB-E0056,協力会社B,エンジニアリングチーム,2021-11,169.0
PJ-2021-E,デバッグ,PTC-E0149,協力会社C,デバッグチーム,2021-11,37.6
PJ-2021-E,バトルデザイン,EMP-E0009,自社,ゲームデザイン部,2021-11,168.2
PJ-2021-E,バトルデザイン,EMP-E0011,自社,ゲームデザイン部,2021-11,46.2
PJ-2021-E,バトルデザイン,EMP-E0012,自社,ゲームデザイン部,2021-11,152.5
PJ-2021-E,バトルデザイン,EMP-E0013,自社,ゲームデザイン部,2021-11,181.4
PJ-2021-E,バトルデザイン,EMP-E0014,自社,ゲームデザイン部,2021-11,60.2
PJ-2021-E,バトルデザイン,EMP-E0016,自社,ゲームデザイン部,2021-11,67.7
PJ-2021-E,バトルデザイン,EMP-E0017,自社,ゲームデザイン部,2021-11,94.4
PJ-2021-E,バトルデザイン,EMP-E0018,自社,ゲームデザイン部,2021-11,100.4
PJ-2021-E,バトルデザイン,EMP-E0019,自社,ゲームデザイン部,2021-11,66.7
PJ-2021-E,バトルデザイン,PTA-E0023,協力会社A,GDチーム,2021-11,143.6
PJ-2021-E,プロジェクト管理,EMP-E0162,自社,PMO,2021-11,85.6
PJ-2021-E,プロジェクト管理,EMP-E0163,自社,PMO,2021-11,170.9
PJ-2021-E,プロジェクト管理,EMP-E0164,自社,PMO,2021-11,50.5
PJ-2021-E,プロジェクト管理,EMP-E0165,自社,PMO,2021-11,130.9
PJ-2021-E,プロジェクト管理,EMP-E0166,自社,PMO,2021-11,194.4
PJ-2021-E,プロジェクト管理,EMP-E0167,自社,PMO,2021-11,298.2
PJ-2021-E,プロトタイプ制作,EMP-E0001,自社,企画部,2021-11,125.0
PJ-2021-E,プロトタイプ制作,EMP-E0002,自社,企画部,2021-11,358.1
PJ-2021-E,プロトタイプ制作,EMP-E0003,自社,企画部,2021-11,148.1
PJ-2021-E,プロトタイプ制作,EMP-E0004,自社,企画部,2021-11,183.3
PJ-2021-E,プロトタイプ制作,EMP-E0005,自社,企画部,2021-11,65.7
PJ-2021-E,プロトタイプ制作,EMP-E0006,自社,企画部,2021-11,231.3
PJ-2021-E,プロトタイプ制作,EMP-E0007,自社,企画部,2021-11,228.1
PJ-2021-E,プロトタイプ制作,EMP-E0008,自社,企画部,2021-11,135.9
PJ-2021-E,ボイス収録,EMP-E0116,自社,サウンド部,2021-11,50.6
PJ-2021-E,レベルデザイン,EMP-E0010,自社,ゲームデザイン部,2021-11,75.3
PJ-2021-E,レベルデザイン,EMP-E0012,自社,ゲームデザイン部,2021-11,128.4
PJ-2021-E,レベルデザイン,EMP-E0013,自社,ゲームデザイン部,2021-11,98.2
PJ-2021-E,レベルデザイン,EMP-E0014,自社,ゲームデザイン部,2021-11,124.7
PJ-2021-E,レベルデザイン,EMP-E0015,自社,ゲームデザイン部,2021-11,104.9
PJ-2021-E,レベルデザイン,EMP-E0016,自社,ゲームデザイン部,2021-11,178.3
PJ-2021-E,レベルデザイン,EMP-E0017,自社,ゲームデザイン部,2021-11,185.0
PJ-2021-E,レベルデザイン,EMP-E0018,自社,ゲームデザイン部,2021-11,81.8
PJ-2021-E,レベルデザイン,EMP-E0019,自社,ゲームデザイン部,2021-11,117.9
PJ-2021-E,レベルデザイン,PTA-E0020,協力会社A,GDチーム,2021-11,40.2
PJ-2021-E,レベルデザイン,PTA-E0022,協力会社A,GDチーム,2021-11,95.2
PJ-2021-E,レベルデザイン,PTA-E0023,協力会社A,GDチーム,2021-11,84.0
PJ-2021-E,ローカライズQA,PTC-E0134,協力会社C,デバッグチーム,2021-11,9.6
PJ-2021-E,企画書作成,EMP-E0001,自社,企画部,2021-11,90.9
PJ-2021-E,企画書作成,EMP-E0004,自社,企画部,2021-11,94.8
PJ-2021-E,企画書作成,EMP-E0005,自社,企画部,2021-11,94.3
PJ-2021-E,企画書作成,EMP-E0007,自社,企画部,2021-11,206.9
PJ-2021-E,企画書作成,EMP-E0008,自社,企画部,2021-11,107.7
PJ-2021-E,企画立案,EMP-E0001,自社,企画部,2021-11,167.9
PJ-2021-E,企画立案,EMP-E0002,自社,企画部,2021-11,116.2
PJ-2021-E,企画立案,EMP-E0003,自社,企画部,2021-11,186.2
PJ-2021-E,企画立案,EMP-E0004,自社,企画部,2021-11,133.0
PJ-2021-E,企画立案,EMP-E0005,自社,企画部,2021-11,211.4
PJ-2021-E,企画立案,EMP-E0006,自社,企画部,2021-11,140.1
PJ-2021-E,企画立案,EMP-E0007,自社,企画部,2021-11,42.8
PJ-2021-E,企画立案,EMP-E0008,自社,企画部,2021-11,128.6
PJ-2021-E,市場調査,EMP-E0002,自社,企画部,2021-11,150.2
PJ-2021-E,市場調査,EMP-E0003,自社,企画部,2021-11,149.1
PJ-2021-E,市場調査,EMP-E0004,自社,企画部,2021-11,147.1
PJ-2021-E,市場調査,EMP-E0005,自社,企画部,2021-11,80.4
PJ-2021-E,市場調査,EMP-E0007,自社,企画部,2021-11,71.1
PJ-2021-E,市場調査,EMP-E0008,自社,企画部,2021-11,74.1
PJ-2021-E,最適化,EMP-E0024,自社,第1開発部,2021-11,220.5
PJ-2021-E,最適化,EMP-E0030,自社,第1開発部,2021-11,50.0
PJ-2021-E,最適化,EMP-E0031,自社,第1開発部,2021-11,93.1
PJ-2021-E,最適化,EMP-E0035,自社,第1開発部,2021-11,62.8
PJ-2021-E,最適化,EMP-E0036,自社,第1開発部,2021-11,62.1
PJ-2021-E,最適化,EMP-E0037,自社,第1開発部,2021-11,213.2
PJ-2021-E,最適化,PTA-E0049,協力会社A,開発支援チーム,2021-11,84.6
PJ-2021-E,最適化,PTA-E0050,協力会社A,開発支援チーム,2021-11,102.4
PJ-2021-E,最適化,PTB-E0058,協力会社B,エンジニアリングチーム,2021-11,47.6
PJ-2021-E,移植対応,EMP-E0026,自社,第1開発部,2021-11,136.1
PJ-2021-E,移植対応,EMP-E0033,自社,第1開発部,2021-11,150.6
PJ-2021-E,移植対応,PTA-E0044,協力会社A,開発支援チーム,2021-11,79.5
PJ-2021-E,移植対応,PTB-E0054,協力会社B,エンジニアリングチーム,2021-11,74.6
PJ-2021-E,移植対応,PTB-E0056,協力会社B,エンジニアリングチーム,2021-11,100.2
PJ-2021-E,背景モデリング,EMP-E0061,自社,アート部,2021-11,72.0
PJ-2021-E,背景モデリング,EMP-E0062,自社,アート部,2021-11,140.2
PJ-2021-E,背景モデリング,EMP-E0065,自社,アート部,2021-11,104.4
PJ-2021-E,背景モデリング,EMP-E0069,自社,アート部,2021-11,86.9
PJ-2021-E,背景モデリング,PTB-E0078,協力会社B,3DCGチーム,2021-11,228.7
PJ-2021-E,背景モデリング,PTB-E0083,協力会社B,3DCGチーム,2021-11,168.9
PJ-2021-E,背景モデリング,PTB-E0087,協力会社B,3DCGチーム,2021-11,63.1
PJ-2021-E,背景モデリング,PTB-E0088,協力会社B,3DCGチーム,2021-11,103.6
PJ-2021-E,背景モデリング,PTB-E0090,協力会社B,3DCGチーム,2021-11,97.4
PJ-2021-E,背景モデリング,PTB-E0096,協力会社B,3DCGチーム,2021-11,94.3
PJ-2021-E,背景モデリング,PTB-E0098,協力会社B,3DCGチーム,2021-11,84.5
PJ-2021-E,背景モデリング,PTC-E0104,協力会社C,2Dアートチーム,2021-11,47.2
PJ-2021-E,進行管理,EMP-E0163,自社,PMO,2021-11,97.8
PJ-2021-E,進行管理,EMP-E0165,自社,PMO,2021-11,108.2
PJ-2021-E,進行管理,EMP-E0166,自社,PMO,2021-11,137.1
PJ-2021-E,進行管理,EMP-E0167,自社,PMO,2021-11,140.0
PJ-2021-E,2Dイラスト,EMP-E0064,自社,アート部,2021-12,164.7
PJ-2021-E,2Dイラスト,PTB-E0077,協力会社B,3DCGチーム,2021-12,118.7
PJ-2021-E,2Dイラスト,PTB-E0083,協力会社B,3DCGチーム,2021-12,31.6
PJ-2021-E,2Dイラスト,PTB-E0088,協力会社B,3DCGチーム,2021-12,134.0
PJ-2021-E,2Dイラスト,PTB-E0090,協力会社B,3DCGチーム,2021-12,117.2
PJ-2021-E,2Dイラスト,PTB-E0096,協力会社B,3DCGチーム,2021-12,110.7
PJ-2021-E,2Dイラスト,PTB-E0097,協力会社B,3DCGチーム,2021-12,79.0
PJ-2021-E,2Dイラスト,PTC-E0111,協力会社C,2Dアートチーム,2021-12,79.0
PJ-2021-E,BGM制作,EMP-E0119,自社,サウンド部,2021-12,161.7
PJ-2021-E,BGM制作,PTC-E0121,協力会社C,サウンドチーム,2021-12,73.0
PJ-2021-E,QA計画・進行,PTC-E0133,協力会社C,デバッグチーム,2021-12,33.1
PJ-2021-E,SE制作,EMP-E0119,自社,サウンド部,2021-12,113.2
PJ-2021-E,SE制作,PTC-E0122,協力会社C,サウンドチーム,2021-12,79.8
PJ-2021-E,UI/UX設計,EMP-E0010,自社,ゲームデザイン部,2021-12,170.1
PJ-2021-E,UI/UX設計,EMP-E0011,自社,ゲームデザイン部,2021-12,62.2
PJ-2021-E,UI/UX設計,EMP-E0012,自社,ゲームデザイン部,2021-12,65.6
PJ-2021-E,UI/UX設計,EMP-E0013,自社,ゲームデザイン部,2021-12,118.6
PJ-2021-E,UI/UX設計,EMP-E0014,自社,ゲームデザイン部,2021-12,73.9
PJ-2021-E,UI/UX設計,EMP-E0015,自社,ゲームデザイン部,2021-12,90.9
PJ-2021-E,UI/UX設計,EMP-E0016,自社,ゲームデザイン部,2021-12,215.2
PJ-2021-E,UI/UX設計,EMP-E0018,自社,ゲームデザイン部,2021-12,62.5
PJ-2021-E,UIアート,EMP-E0061,自社,アート部,2021-12,136.5
PJ-2021-E,UIアート,PTB-E0078,協力会社B,3DCGチーム,2021-12,125.0
PJ-2021-E,UIアート,PTB-E0091,協力会社B,3DCGチーム,2021-12,92.7
PJ-2021-E,UIアート,PTB-E0096,協力会社B,3DCGチーム,2021-12,144.4
PJ-2021-E,UIアート,PTC-E0100,協力会社C,2Dアートチーム,2021-12,112.9
PJ-2021-E,UIアート,PTC-E0102,協力会社C,2Dアートチーム,2021-12,95.8
PJ-2021-E,UIアート,PTC-E0105,協力会社C,2Dアートチーム,2021-12,97.5
PJ-2021-E,アニメーション,EMP-E0066,自社,アート部,2021-12,67.0
PJ-2021-E,アニメーション,EMP-E0074,自社,アート部,2021-12,132.0
PJ-2021-E,アニメーション,PTB-E0078,協力会社B,3DCGチーム,2021-12,158.0
PJ-2021-E,アニメーション,PTB-E0082,協力会社B,3DCGチーム,2021-12,69.7
PJ-2021-E,アニメーション,PTB-E0097,協力会社B,3DCGチーム,2021-12,41.5
PJ-2021-E,アニメーション,PTB-E0098,協力会社B,3DCGチーム,2021-12,270.2
PJ-2021-E,アニメーション,PTC-E0100,協力会社C,2Dアートチーム,2021-12,67.6
PJ-2021-E,アニメーション,PTC-E0101,協力会社C,2Dアートチーム,2021-12,64.3
PJ-2021-E,アニメーション,PTC-E0102,協力会社C,2Dアートチーム,2021-12,220.4
PJ-2021-E,アニメーション,PTC-E0104,協力会社C,2Dアートチーム,2021-12,175.6
PJ-2021-E,アニメーション,PTC-E0106,協力会社C,2Dアートチーム,2021-12,93.3
PJ-2021-E,アニメーション,PTC-E0107,協力会社C,2Dアートチーム,2021-12,14.4
PJ-2021-E,エフェクト,EMP-E0076,自社,アート部,2021-12,95.1
PJ-2021-E,エフェクト,PTB-E0079,協力会社B,3DCGチーム,2021-12,88.3
PJ-2021-E,エフェクト,PTB-E0083,協力会社B,3DCGチーム,2021-12,165.3
PJ-2021-E,エフェクト,PTB-E0095,協力会社B,3DCGチーム,2021-12,117.0
PJ-2021-E,エフェクト,PTB-E0098,協力会社B,3DCGチーム,2021-12,104.7
PJ-2021-E,エフェクト,PTC-E0100,協力会社C,2Dアートチーム,2021-12,117.7
PJ-2021-E,エフェクト,PTC-E0108,協力会社C,2Dアートチーム,2021-12,99.4
PJ-2021-E,エフェクト,PTC-E0111,協力会社C,2Dアートチーム,2021-12,98.8
PJ-2021-E,エンジン開発,EMP-E0024,自社,第1開発部,2021-12,262.1
PJ-2021-E,エンジン開発,EMP-E0027,自社,第1開発部,2021-12,48.7
PJ-2021-E,エンジン開発,EMP-E0028,自社,第1開発部,2021-12,96.3
PJ-2021-E,エンジン開発,EMP-E0031,自社,第1開発部,2021-12,48.7
PJ-2021-E,エンジン開発,EMP-E0034,自社,第1開発部,2021-12,152.3
PJ-2021-E,エンジン開発,EMP-E0035,自社,第1開発部,2021-12,52.9
PJ-2021-E,エンジン開発,EMP-E0037,自社,第1開発部,2021-12,30.1
PJ-2021-E,エンジン開発,PTA-E0052,協力会社A,開発支援チーム,2021-12,53.3
PJ-2021-E,エンジン開発,PTB-E0056,協力会社B,エンジニアリングチーム,2021-12,195.8
PJ-2021-E,キャラクターモデリング,EMP-E0065,自社,アート部,2021-12,49.5
PJ-2021-E,キャラクターモデリング,EMP-E0067,自社,アート部,2021-12,89.1
PJ-2021-E,キャラクターモデリング,EMP-E0069,自社,アート部,2021-12,89.6
PJ-2021-E,キャラクターモデリング,EMP-E0070,自社,アート部,2021-12,43.6
PJ-2021-E,キャラクターモデリング,EMP-E0072,自社,アート部,2021-12,92.7
PJ-2021-E,キャラクターモデリング,EMP-E0074,自社,アート部,2021-12,129.3
PJ-2021-E,キャラクターモデリング,PTB-E0084,協力会社B,3DCGチーム,2021-12,224.0
PJ-2021-E,キャラクターモデリング,PTB-E0085,協力会社B,3DCGチーム,2021-12,142.5
PJ-2021-E,キャラクターモデリング,PTB-E0086,協力会社B,3DCGチーム,2021-12,56.9
PJ-2021-E,キャラクターモデリング,PTB-E0091,協力会社B,3DCGチーム,2021-12,95.1
PJ-2021-E,キャラクターモデリング,PTB-E0092,協力会社B,3DCGチーム,2021-12,290.8
PJ-2021-E,キャラクターモデリング,PTB-E0094,協力会社B,3DCGチーム,2021-12,98.1
PJ-2021-E,キャラクターモデリング,PTB-E0096,協力会社B,3DCGチーム,2021-12,120.4
PJ-2021-E,キャラクターモデリング,PTB-E0098,協力会社B,3DCGチーム,2021-12,153.4
PJ-2021-E,キャラクターモデリング,PTC-E0100,協力会社C,2Dアートチーム,2021-12,53.3
PJ-2021-E,キャラクターモデリング,PTC-E0104,協力会社C,2Dアートチーム,2021-12,75.9
PJ-2021-E,キャラクターモデリング,PTC-E0108,協力会社C,2Dアートチーム,2021-12,33.2
PJ-2021-E,クライアント実装,EMP-E0024,自社,第1開発部,2021-12,90.9
PJ-2021-E,クライアント実装,EMP-E0025,自社,第1開発部,2021-12,51.8
PJ-2021-E,クライアント実装,EMP-E0026,自社,第1開発部,2021-12,76.0
PJ-2021-E,クライアント実装,EMP-E0030,自社,第1開発部,2021-12,55.6
PJ-2021-E,クライアント実装,EMP-E0032,自社,第1開発部,2021-12,81.9
PJ-2021-E,クライアント実装,EMP-E0033,自社,第1開発部,2021-12,75.1
PJ-2021-E,クライアント実装,EMP-E0034,自社,第1開発部,2021-12,88.9
PJ-2021-E,クライアント実装,EMP-E0037,自社,第1開発部,2021-12,146.0
PJ-2021-E,クライアント実装,EMP-E0040,自社,第2開発部,2021-12,115.0
PJ-2021-E,クライアント実装,PTA-E0046,協力会社A,開発支援チーム,2021-12,140.9
